County,Type,region,Rate
Alameda, County,Alameda County,14.10%
Alpine, County,Alpine County,13.20%
Amador, County,Amador County,13.20%
Butte, County,Butte County,17.90%
Calaveras, County,Calaveras County,13.20%
Colusa, County,Colusa County,14.30%
Contra Costa, County,Contra Costa County,13.80%
Del Norte, County,Del Norte County,12.80%
El Dorado, County,El Dorado County,10.40%
Fresno, County,Fresno County,17.20%
Glenn, County,Glenn County,14.30%
Humboldt, County,Humboldt County,19.50%
Imperial, County,Imperial County,19.50%
Inyo, County,Inyo County,13.20%
Kern, County,Kern County,16.70%
Kings, County,Kings County,14.30%
Lake, County,Lake County,15.80%
Lassen, County,Lassen County,12.80%
Los Angeles, County,Los Angeles County,20.80%
Madera, County,Madera County,18.50%
Marin, County,Marin County,15.80%
Mariposa, County,Mariposa County,13.20%
Mendocino, County,Mendocino County,15.80%
Merced, County,Merced County,13.40%
Modoc, County,Modoc County,12.80%
Mono, County,Mono County,13.20%
Monterey, County,Monterey County,17.30%
Napa, County,Napa County,13.70%
Nevada, County,Nevada County,17.30%
Orange, County,Orange County,19.10%
Placer, County,Placer County,11.50%
Plumas, County,Plumas County,12.80%
Riverside, County,Riverside County,16.10%
Sacramento, County,Sacramento County,14.80%
San Benito, County,San Benito County,17.30%
San Bernardino, County,San Bernardino County,15.30%
San Diego, County,San Diego County,17.80%
San Francisco, County,San Francisco County,17.00%
San Joaquin, County,San Joaquin County,15.40%
San Luis Obispo, County,San Luis Obispo County,15.50%
San Mateo, County,San Mateo County,15.10%
Santa Barbara, County,Santa Barbara County,20.70%
Santa Clara, County,Santa Clara County,14.30%
Santa Cruz, County,Santa Cruz County,17.00%
Shasta, County,Shasta County,15.90%
Sierra, County,Sierra County,17.30%
Siskiyou, County,Siskiyou County,12.80%
Solano, County,Solano County,11.80%
Sonoma, County,Sonoma County,14.40%
Stanislaus, County,Stanislaus County,14.40%
Sutter, County,Sutter County,11.90%
Tehama, County,Tehama County,14.30%
Trinity, County,Trinity County,13.20%
Tulare, County,Tulare County,14.30%
Tuolumne, County,Tuolumne County,16.40%
Ventura, County,Ventura County,16.30%
Yolo, County,Yolo County,20.90%
Yuba, County,Yuba County,11.90%
